Location ID,Group,Category,Type of Space,Security,Demarcation,Cleanliness,Seating Types,Seating Capacity,Electrical appliances,Ornaments and Decorations,lat,lon,Remarks,URL
AK-V-05,Advanced,People-generated,Void Deck,No,Not demarcated,Semi-clean,Mobile,10,Present,None,1.3674169,103.838101,"This space is rather unique, in that it has a makeshift store found beside it. As there is no large construction project nearby, it is interesting to find a store that seems to be under the care of residents. This space is also without any state-provided furniture, essentially providing a new seating space in a void. Tables that look more as household dining tables rather than sitting tables and household wooden chairs make it heterogeneous. Stacks of plastics chairs can be found organized nicely against a wall. The presence of fridges and freezes allows the space to provide beverages or food.  Along with fans and an exercise machine, it creates the impression of a living space in the void. It is populated by residents during the trips, both in late morning and late afternoon. There are no cameras in this space but the provision of power in a void deck (normally not possible) would indicate that the authorities know such a space exists.","https://www.google.com/maps/search/1.3674169,103.838101"
AK-V-06,Simple,People-generated,Void Deck,No,Not demarcated,Semi-clean,Mixed,10,None,None,1.3701537,103.8425827,"This space in the void deck consists of additional seats, with wooden chairs being the primary aesthetic and stacked in the corner. It is a confluence of multiple covered walkways, linking an adjacent coffeeshop with a pedestrian crossing towards another coffeeshop. Hence, this space sees much traffic as well. While there are metal benches provided by the state, the orientation of furniture that are set up by residents  faces the view of the pedestrian crossing, being a elevated position. It can be deduced this space is mostly used for people-watching. There was an elderly woman sitting in such a position. There are no cameras in this vicinity.
","https://www.google.com/maps/search/1.3701537,103.8425827"
AK-V-07,Simple,People-generated,Void Deck,No,Not demarcated,Clean,Mobile,3,None,None,1.3703712,103.8415416,"A table tennis table that was provided by the state, some wooden chairs have been added to the space. They are placed beneath the table, in a manner that creates an impression of hiding, which could postulate that they may not exactly be accepted. However, it is a simple layout, and it could indicate the table tennis either being highly used, with the chairs as waiting seats, or the table is being used for other activities than the sport. There are no cameras in this vicinity.","https://www.google.com/maps/search/1.3703712,103.8415416"
AK-V-09,Advanced,People-generated,Void Deck,No,Not demarcated,Clean,Mixed,20,None,Present,1.3715048,103.8573271,"A space with a variation of furniture, mostly tables and chairs. A rocking chair can be seen placed facing the nearby road, which serves the back end of block of shops. People watching could be a prominent activity here, as it has a good vantage view of activities. A table with locked drawers can be found as well, which could indicate this space could encourage some form of handiwork. Other people-generated furniture can be seen haphazardly stored in a corner, with trolleys. The area is also decorated with various Chinese ornaments and decorations from the ceiling and walls, giving the impression that a Chinese-dominant demographic inhabits such a space. There are no cameras in this vicinity.   
","https://www.google.com/maps/search/1.3715048,103.8573271"
AK-V-12,Simple,People-generated,Void Deck,No,Not demarcated,Clean,Mobile,2,None,Present,1.3639971,103.8496292,"A very small space, set up near the utility room of the HDB block. Importanly, it is not visible at most angles, which could probably facilitate its hidden nature and possibility, the lack of state knowledge. There are additional seating provided, along with a mirror and an ash tray. This gives the impression that this area is a resting space for workers that have to maintain these rooms, with shelter for hot and wet weather as well as the mirror for facial maintenance. ","https://www.google.com/maps/search/1.3639971,103.8496292"
BD-G-03,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3360173,103.923343,"Community garden
People generated
No demarcation 
Relatively organized
No cameras or seats","https://www.google.com/maps/search/1.3360173,103.923343"
BD-G-05,,People-generated,Garden,Yes,Not demarcated,Clean,None,0,None,Present,1.3368911,103.9203714,"Community garden
People generated
No demarcation
Relatively organized and clean
Camera present
Some of the plants are chained may have theft cases before 
Pots are ornamental
Could be the Hawkers found in the nearby Coffeeshop 
No seating ","https://www.google.com/maps/search/1.3368911,103.9203714"
BD-G-08,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3296893,103.9121729,"Garden
People generated
No demarcation 
No camera
No seating
Relatively disorganized ","https://www.google.com/maps/search/1.3296893,103.9121729"
BD-G-09,,People-generated,Garden,No,Not demarcated,Semi-clean,None,0,None,None,1.33336,103.9111064,"Outdoor Garden
People-generated
No demarcation 
No seating
Relatively disorganized","https://www.google.com/maps/search/1.33336,103.9111064"
BD-G-10,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3297309,103.9100157,"Outdoor garden
People generated
No demarcation 
Built along the paths
Relatively disorganized
No seats
No cameras ","https://www.google.com/maps/search/1.3297309,103.9100157"
BD-G-11,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3322431,103.9084141,"Outdoor garden
People generated
No demarcation 
Alongside the path 
No cameras
No seating
Decorations on the plants 
First floor housing","https://www.google.com/maps/search/1.3322431,103.9084141"
BD-G-12,,People-generated,Garden,No,Not demarcated,Semi-clean,Mobile,4,None,None,1.3320072,103.9083333,"Outdoor garden area
People generated 
No demarcation
Two sitting swings
First floor house
No cameras 
Relatively disorganized ","https://www.google.com/maps/search/1.3320072,103.9083333"
BD-G-14,,People-generated,Garden,No,Not demarcated,Semi-clean,None,0,None,None,1.3336281,103.9089455,"Garden
People-generated
Small
Relatively disorganized
No demarcation
No cameras
No seating
First floor housing","https://www.google.com/maps/search/1.3336281,103.9089455"
BD-G-18,,People-generated,Garden,No,Not demarcated,Semi-clean,Mobile,4,None,Present,1.3300115,103.9384438,"Garden
People-generated
No demarcation of space
Relatively disorganized
A few decorations and ornaments 
Non-religious/cultural 
Concrete tiles as crossovers into the space
Wooden benches provided within 
Shelving for tools as well
No cameras ","https://www.google.com/maps/search/1.3300115,103.9384438"
BD-G-29,,People-generated,Garden,No,Demarcated,Clean,Mobile,4,None,Present,1.3264538,103.9228669,"Garden
People generated
First flow household
Demarcated by small fence
Relatively organized
1 four seater stone table 
Decorations and ornaments present
No camera","https://www.google.com/maps/search/1.3264538,103.9228669"
BD-G-30,,People-generated,Garden,No,Demarcated,Clean,None,0,None,None,1.3261263,103.9228625,"Garden
People generated
Demarcated (self) 
Small plot 
Relatively organized 
No seating or camera","https://www.google.com/maps/search/1.3261263,103.9228625"
BD-G-31,,People-generated,Garden,No,Not demarcated,Semi-clean,None,0,None,None,1.3258257,103.9226389,"Garden
People generated
Relatively disorganized
No demarcation
No camera
No seating","https://www.google.com/maps/search/1.3258257,103.9226389"
BD-G-32,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3244531,103.9210524,"Garden
People generated
No demarcation
Relatively organized
Pathway set up by floor tiles
No cameras
No seats
First floor residents","https://www.google.com/maps/search/1.3244531,103.9210524"
BD-G-33,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,Present,1.3257392,103.9204086,"Garden
People generated
No demarcation
Lines the pathway through with pots 
Organized
Bird cages present
No cameras","https://www.google.com/maps/search/1.3257392,103.9204086"
BD-G-34,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.325949,103.9202028,"Garden
People generated
First floor homes
No demarcation 
Quite organized
Pathway created by resident through concrete tiles","https://www.google.com/maps/search/1.325949,103.9202028"
BD-G-37,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3236962,103.9428651,"Garden
People generated
No demarcation 
Relatively organized
Equipment present on site
No cameras
No seating","https://www.google.com/maps/search/1.3236962,103.9428651"
BD-O-01,Simple,People-generated,Outdoor,Yes,Not demarcated,Clean,Mixed,4,None,None,1.3355672,103.9241289,"This space is adjacent to a lift landing that looks to have been developed during the lift upgrading programme (it extends out from the block). While wooden seating has been provided along the low wall, a sofa seat and additional wooden chairs have been provided in the immediate space. The camera serves the lift landing and hence, can see a portion of the space. The additional seats serve as a better arrangement especially during downpours as they are found in the deeper section of shelter as compared to the state-provided seats. Also, they have a vantage view of the surrounding vicinity, including the potted garden nearby and the canal just further down. ","https://www.google.com/maps/search/1.3355672,103.9241289"
BD-O-02,Simple,People-generated,Outdoor,No,Not demarcated,Semi-clean,Mixed,5,None,Present,1.3352303,103.9230275,"This is space is adjacent to a lift landing that looks to have been developed during the lift upgrading programme. While wooden seating has been provided by the state, additional plastic chairs and tables can be found in the space. Similar to other spaces, they are arranged such that they are more sheltered against rain. Hidden from view is a religious altar that is placed behind the lift shaft extension under a tree. Residents that provided these chairs most likely are contributors to the altar as well, along with the potted garden found in the space.  Similar to the other spaces, the camera can only see a certain portions of the seats, not the altar or the edge plastic seats. ","https://www.google.com/maps/search/1.3352303,103.9230275"
BD-O-03,Simple,People-generated,Outdoor,No,Demarcated,Clean,Mixed,3,None,None,1.3292107,103.9298272,"A sheltered open space found adjacent to a coffeeshop, additional furniture from the coffeeshop is used while the state has already provided wall seats. In particular, this shelter also serves as a pathway from the sheltered walkways from adjacent blocks to the coffeeshop and the placement of the chairs further limits the walking space. Individuals were using this space as a resting area, although it remains to be seen if this is the primary usage due to current circumstances. There are no cameras in this space.","https://www.google.com/maps/search/1.3292107,103.9298272"
BD-O-04,Simple,People-generated,Outdoor,No,Not demarcated,Semi-clean,Mobile,6,None,Present,1.3228629,103.9336202,"An outdoor space that is found adjacent to a coffeeshop. With multiple foldable tables and plastic chairs that are taken from the coffeeshop, it provides a separated space from the commercial outlet. With the presence of cabinets and a toy bicycle, it would probably be frequented by regulars of the coffeeshop and it overlooks multiple pathways between blocks. Hence, people-watching may be a prominent activity here. Also, smoking is allowed in this space, since it is outdoor, which would probably be facilitated by the fact that the coffeeshop does not have a smoking corner. There are no cameras in this location. ","https://www.google.com/maps/search/1.3228629,103.9336202"
BD-O-05,Simple,People-generated,Outdoor,No,Not demarcated,Semi-clean,Mixed,16,None,None,1.3227748,103.932947,"Situated behind a lift landing, this space houses state-provided furniture, but with additional wooden chairs as well. These were laid out rather disorganized, probably indicating that this is not the original layout of the space. A cooler box was found chained to one of the chairs, which suggests that drinking was often an activity. Along with its proximity to a coffeeshop and large vantage view of the surrounding HDB estate, it would be a space of relaxation and conversation, akin to a watering hole.
","https://www.google.com/maps/search/1.3227748,103.932947"
BD-O-06,Advanced,People-generated,Outdoor,No,Not demarcated,Clean,Mobile,8,None,Present,1.3251828,103.9264959,"A space that is sandwiched between a basketball court and a sheltered walkway, it is umbrella-ed by a large tree. It has been heavily modified, with no state-provided seats or gardens found in the area yet plastic chairs and potted plants are arranged nicely in the space. The equipment for the plants, as well as a makeshift toolrack that is suspended from the tree branch, provides a mini-work area for the space, allowing the denizens of the space to work with organization. Locked cupboards and drawers are arranged nicely along the caged basketball court and it gives a sense of a well-contributed and maintained space. Also, modified gala poles with nets could be indicative that fruit picking is a possible activity in this space.  Overall, this space creates a living space and is more advanced than other outdoor spaces. There are no cameras in the area.","https://www.google.com/maps/search/1.3251828,103.9264959"
BD-O-07,Simple,People-generated,Outdoor,No,Not demarcated,Clean,Mobile,4,None,None,1.3255397,103.9256517,"This is a small outdoor area built along a patch of grass, or sand. There are multiple tables folded under a tree, with plastic chairs stacked too. One was in use at the time of visit with the user facing the sheltered walkway found nearby. The close proximity to the Singapore Pools could be indicative of a gathering area where older folk would either make their bets or just play chess under the shelter of the tree. There are no cameras in this vicinity. ","https://www.google.com/maps/search/1.3255397,103.9256517"
BD-O-08,Advanced,People-generated,Outdoor ,No,Not demarcated,Clean,Mobile,4,None,Present,1.3353868,103.9237822,"Re-classified from a garden to an outdoor space as most of the space is generated within an outdoor shelter situated behind a lift landing. A people-generated space, without any state-provided furniture or demarcation of space. Within the space, there are cabinets and side tables, with wooden and plastic movable chairs provided. Calenders and Chinese ornaments can be found on these cabinets, as well as an incense burner. A small garden is developed just outside the space, with a small fence bounding the potted plants.  No cameras as it is hidden behind the lift landing.
","https://www.google.com/maps/search/1.3353868,103.9237822"
BD-V-03,Simple,People-generated,Void Deck,No,Not demarcated,Clean,Mixed,10,None,Present,1.3334371,103.9296307,"The space is found at the void deck edge of a HDB block, with a sheltered walkway directly leading into it. While state-provided furniture is present, additional chairs, both wooden and plastic, are lined against the wall. Also, a wooden table is placed there. Chinese decorations hang from the ceiling, with a homely clock providing the time to possible users of the space. The layout of the additional furniture is not representative of the real usage of the space, due to current circumstances and the tape surrounding it. Hence, there could be more elements to this space yet it is unseen. There are no cameras in the vicinity. ","https://www.google.com/maps/search/1.3334371,103.9296307"
BD-V-09,Simple,People-generated,Void Deck,No,Not demarcated,Semi-clean,Mixed,10,None,None,1.3190475,103.9456794,"This space has a few additions to the state-provided elements.Additional seats have been provided, not exactly near the table but in an open fashion. It is also tending towards the minimart adjacent to the space. Cabinets with clothes hung could indicate who are the probable users of the space; shopowners. However, residents of the area seem to be freely able to use the space as well though the furniture does block an entry point to the shop. There are not cameras in the vicinity.
","https://www.google.com/maps/search/1.3190475,103.9456794"
HG-G-01,,People-generated,Garden,No,Not demarcated,Not clean,None,0,None,None,1.3692339,103.8950701,,
HG-G-03,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3698553,103.8964585,,
HG-G-04,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3690197,103.8964874,,
HG-G-07,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.368394,103.8983213,,
HG-G-08,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3682699,103.8982932,,
HG-G-10,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3700213,103.8982549,,
HG-G-14,,People-generated,Garden,No,Demarcated,Clean,Mobile,3,None,Present,1.3561635,103.8904396,"Large community garden
Likelihood is people-generated due to heterogeneity
Though possible state tolerated as it is large. 
Demarcated by concrete kerbs, bricks and Low fences
Plastic stools found inside
Religious ornaments found in one
Aviary present as well
Advanced community garden",
HG-G-15,,People-generated,Garden,No,Not demarcated,Semi-clean,Mobile,2,None,Present,1.3568168,103.8917583,"Garden (large)
People-generated
Layout is row wise
Mature plants 
Concrete tiles placed for walkability through
Disorganized 
Relatively clean
No surveillance",
HG-G-16,,People-generated,Garden,Yes,Not demarcated,Clean,Mobile,3,None,None,1.3570745,103.8917476,"Garden
People-generated
Disorganized
Clean
One cctv on the inner garden
Most like managed by residents",
HG-G-17,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3571798,103.8920714,"Mini garden
People-generated
Disorganized but clean
No surveillance
Most likely managed by residents nearby",
HG-G-18,,People-generated,Garden,No,Not demarcated,Semi-clean,Mobile,2,None,None,1.3604079,103.8912953,"Gardens
People generated
Demarcated with mini fences, some not
Relatively well maintained, although disorganized. 
Should be tended by residents ",
HG-G-19,,People-generated,Garden,Semi,Not demarcated,Semi-clean,None,0,None,None,1.3605035,103.8917271,"Mini garden
People generated
Relatively young (with supports)
Disorganized 
Cctv only sees a portion",
HG-G-20,,People-generated,Garden,No,Semi-demarcated,Clean,None,0,None,None,1.3662039,103.8956696,"Larger garden, more organised with a mini demarcation.
 Has a mesh for young plants
Beside lift landing",
HG-G-21,,People-generated,Garden,No,Semi-demarcated,Clean,None,0,None,None,1.3661891,103.8958386,"Larger than the gardens on the same stretch
Beside a pathway that was built, also beside the lift landing.
A little overgrown, but still clean",
HG-G-22,,People-generated,Garden,No,Semi-demarcated,Clean,None,0,None,None,1.3662116,103.8960351,"Mini garden 
People-generated spaces 
Same as all those on the same stretch
Could be indication of some state tolerance",
HG-G-23,,People-generated,Garden,No,Semi-demarcated,Clean,None,0,None,None,1.3662002,103.8963164,"Mini gardens
People generated 
No surveillance
Very open. 
Well kept",
HG-G-24,,People-generated,Garden,No,Semi-demarcated,Semi-clean,None,0,None,None,1.3663272,103.8967707,"People generated garden
No paths, but relatively organised and clean
Looks mature, with two trees
Behind a lift landing that was newly upgraded. ",
HG-G-26,,People-generated,Garden,No,Not demarcated,Clean,Mobile,2,None,None,1.3670904,103.8948569,"People generated gardens

Long stretch
Disorganized, but kept relatively well cleaned (should be from residents who live closest)
No demarcation or surveillance ",
HG-G-27,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3679492,103.8948318,"Garden
People-generated
No seating
Relatively disorganized
But cleaned (residents from nearby most likelihood)",
HG-G-28,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3787691,103.8931105,"People generated
Relatively organzied in rows
Mostly potted plants
Non demarcated
No cameras
Has materials for watering on site 
No seating ",
HG-G-30,,People-generated,Garden,Yes,Semi-demarcated,Clean,Mobile,4,None,Present,1.3777495,103.8955379,"People-generated
Relatively disorganized but clean
No demarcation (potted plants are used instead)
1 metal bench and 2 stools for seating
Camera present though it looks like it’s a resident’s 
Ornaments present
No water source
Resident built stone path within garden ",
HG-G-31,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3776493,103.8953139,"People
Generated
Perimeter gardening
Relatively organised and clean
No demarcation
No cameras
No seating ",
HG-G-34,,People-generated,Garden,No,Not demarcated,Semi-clean,None,0,None,Present,1.3753225,103.8937894,"People-generated gardens
Small
Relatively disorganized
No cameras
No demarcation 
Has ornaments 
Water source for aquatic plants
Wind vane
Relatively clean",
HG-G-35,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3749156,103.8931534,"People generated
Small gardens potted plants
No demarcation 
No seating
No cameras
Low level block 
Relatively organised
Clean ",
HG-G-36,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3741296,103.8933589,"People generated 
Small garden
Disorganized
No camera
Clean 
No demarcation ",
HG-G-37,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3738591,103.8944264,"Small garden 
People generated
Organised and clean
Has a self path cutting through 
No cameras
No demarcation ",
HG-G-38,,People-generated,Garden,No,Semi-demarcated,Semi-clean,None,0,None,None,1.3740964,103.8946162,"People generated gardens
Sparsely distributed 
Mostly disorganized 
Semi demarcated
Not very clean
No cameras",
HG-G-39,,People-generated,Garden,No,Not demarcated,Clean,Mobile,2,None,None,1.3745207,103.8961541,"Large garden
People generated
Has a pond
Framing for creeper growth
Two chairs
Relatively organised
Clean
No demarcation
No camera",
HG-G-40,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3749105,103.8963884,"Small garden 
People generated
No cameras
No seating
Relatively disorganized
Clean 
No demarcation ",
HG-G-40,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3747138,103.8951674,"People generated
No demarcation
No seating
No camera 
Relatively disorganized
Clean
Found near main road and bus stop ",
HG-G-41,,People-generated,Garden,No,Not demarcated,Semi-clean,None,0,None,None,1.3745371,103.8952582,"Relatively small garden
People generated
No cameras
Disorganized
Relatively clean ",
HG-G-42,,People-generated,Garden,No,Semi-demarcated,Clean,Mobile,7,None,Present,1.3738909,103.8957021,"People generated
Has a fence for demarcation
Advanced decorated with a mini pond for aquatics
Has a DIY arch for creepers
2 wooden benches seating 3 each
A single chair
Mini coffee table 
Ornaments present (some religious)
Large variety of plants, clean 
Bird cages
No cameras
Should be the nearby residents (Low block) ",
HG-G-43,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3736415,103.8955466,"Garden stretch
People generated
Disorganized but clean 
No demarcation 
No seating",
HG-G-44,,People-generated,Garden,No,Semi-demarcated,Clean,Mobile,7,None,Present,1.373826,103.895868,"People-generated garden
Fences to demarcated 
No locks
No camera
4 stools movable
1 wooden bench seats 3
Large green dustbin found inside
Ornaments present
Clothes rack present
Relatively disorganized
Clean
Could be the direct resident’s space ",
HG-G-45,,People-generated,Garden,No,Not demarcated,Semi-clean,None,0,None,None,1.3732212,103.8965048,"People generated garden (small)
Disorganized 
Relatively clean
No cameras 
No proper demarcation (just some bricks)
Not as visible as others, as topography blocks most of angles to see it
Plants are young which could mean it’s a new space
",
HG-G-46,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3723541,103.8965222,"People-generated stretch 
Garden outside first floor homes 
No seating, however the standard HDB Low Walls could be used as seating 
No actual demarcation
Clean, though a little disorganized 
No camera",
HG-G-47,,People-generated,Garden,No,Not demarcated,Semi-clean,None,0,None,Present,1.3765663,103.888138,"Garden stretch 
People generated
First floor units
Ornaments religious present
No demarcation 
No cameras
No seating",
HG-G-48,,People-generated,Garden,No,Semi-demarcated,Clean,None,0,None,None,1.3754699,103.8880387,"People generated garden
First floor unit
No demarcation 
Relatively organised 
Clean
No camera
Small fence ",
HG-G-49,,People-generated,Garden,No,Not demarcated,Clean,None,0,Present,Present,1.376383,103.8850122,"Community garden stretch 
People generated 
Low blocks
Relatively disorganized
No demarcation 
Has some ornaments
Clean 
No camera
No seating
Near a playground (stone linkway)
Has shelving too
",
HG-G-50,,People-generated,Garden,No,Not demarcated,Not clean,None,0,None,None,1.3770104,103.8861397,"Garden stretch 
People generated
Messy
No seating provided
No demarcation 
Probably nearest residents
No camera",
HG-G-51,,People-generated,Garden,No,Not demarcated,Clean,Mobile,5,None,None,1.3770305,103.8859322,"Community garden stretch 
People generated
No demarcation
No camera
Seating provided (2 seater bench)
Multiple plastic stools stacked
Relatively disorganized 
Clean",
HG-G-53,,People-generated,Garden,No,Not demarcated,Semi-clean,Mobile,10,None,None,1.3782747,103.8869642,"People generated
Small garden taken over by storage
Multiple dust bins and chairs are stored in the open
Clothes racks as well
Could indicate a space that is packed up ",
HG-G-56,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,Present,1.3801963,103.89032,"People generated
Garden stretches
No demarcation 
Low blocks
Disorganized 
No cameras
Have swing seats
Kept relatively clean",
HG-G-57,,People-generated,Garden,No,Not demarcated,Semi-clean,None,0,None,None,1.3775601,103.8921938,"Large community garden
People generated space
Semi-organised
No demarcation 
No cameras
No seating
Very kampung ish vibe
No ornaments or seats",
HG-G-61,,People-generated,Garden,No,Not demarcated,Semi-clean,Mobile,5,None,None,1.3698765,103.8817426,"People generated
First floor house
Garden present
Stacked plastics chairs are present and a stone bench
Relatively disorganized
No cameras
No demarcation ",
HG-G-62,,People-generated,Garden,No,Not demarcated,Semi-clean,Mobile,4,None,Present,1.3693814,103.883994,"People generated space
Garden with seating
Near first floor residents
Has fish tanks and aquatic plants
Relatively disorganzied
No demarcation 
Has ornaments
No cameras ",
HG-G-64,,People-generated,Garden,No,Not demarcated,Semi-clean,Mobile,4,None,Present,1.3702911,103.8868713,"People generated space 
Garden holds a small space
Mostly filled with religious and cultural elements such as altars
Folded and stacked table and chairs
No demarcation 
No cameras
",
HG-G-65,,People-generated,Garden,No,Not demarcated,Clean,Mobile,2,None,None,1.3728954,103.8887348,"People generated
Small gardens but with seating
Near first floor units
No demarcation 
Relatively organised
Clean 
No camera ",
HG-G-66,,People-generated,Garden,No,Not demarcated,Semi-clean,Mobile,4,None,None,1.3729876,103.8897108,"People generated
Disorganized
Garden and some plastic furniture that is stacked 
Indicates there could be some space generated during non-COVID era
No demarcation
Not so clean 
No cameras
Near the school gate
Near first floor units",
HG-G-67,,People-generated,Garden,No,Not demarcated,Semi-clean,Mobile,4,None,None,1.3720173,103.8891378,"People generated
Garden and seating area
No demarcation 
Relatively disorganized
Has seating, though it is occupied by pails 
No camera
Adjacent to a Coffeeshop and a first floor unit",
