Location ID,Name,Category,Type of Space,Security,Demarcation,Cleanliness,Seating Types,Seating Capacity,Electrical appliances,Ornaments and Decorations,lat,lon,Remarks
HG-G-65,,People-generated,Garden,No,Not demarcated,Clean,Mobile,2,None,None,1.3728954,103.8887348,"People generated
Small gardens but with seating
Near first floor units
No demarcation 
Relatively organised
Clean 
No camera "
HG-G-66,,People-generated,Garden,No,Not demarcated,Semi-clean,Mobile,4,None,None,1.3729876,103.8897108,"People generated
Disorganized
Garden and some plastic furniture that is stacked 
Indicates there could be some space generated during non-COVID era
No demarcation
Not so clean 
No cameras
Near the school gate
Near first floor units"
HG-G-67,,People-generated,Garden,No,Not demarcated,Semi-clean,Mobile,4,None,None,1.3720173,103.8891378,"People generated
Garden and seating area
No demarcation 
Relatively disorganized
Has seating, though it is occupied by pails 
No camera
Adjacent to a Coffeeshop and a first floor unit"
HG-G-68,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,Present,1.3721319,103.8899582,"Small potted garden
People generated
Relatively organised
Many decorations 
No camera
No demarcation "
HG-G-69,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3744862,103.889871,"People generated garden
No demarcation 
Relatively organised
Clean
No camera
First level unit present"
HG-G-70,,People-generated,Garden,No,Semi-demarcated,Clean,None,0,None,None,1.3751736,103.8900185,"People generated
Garden 
Should be nearest resident
1 st level unit
Relatively organised 
Semi demarcated
Clean
No cameras "
HG-G-71,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3748261,103.8914653,"Stretch of garden
People generated
Low block 
Relatively disorganized but clean 
No demarcation 
No seating 
No cameras "
HG-O-16,,People-generated,Outdoor,No,Not demarcated,Clean,Mobile,4,None,None,1.3738889,103.8899729,"Stretch of shelter with furniture placed
3 tables 
4 chairs
Some are folded
Near the garden 
No demarcation, no cameras"
HG-RC-19,,State-provided,Resident's Corner,No,Demarcated,Semi-clean,Fixed,17,None,None,1.3709024,103.8796042,"Residents corner
State-provided
Relatively empty
Demarcated by Low Walls
2 four seater tables
3 metal mesh benches (seats 3 each)
No camera
Relatively clean "
HG-RC-20,,State-people,Resident's Corner,Yes,Demarcated,Semi-clean,Mixed,10,None,Present,1.3703806,103.8814056,"Residents corner
State-people
No picture
Demarcated by Low Walls
Camera present
Seating provided
Tables provided
Ornaments present
Cabinet and items belonging to residents present 
Not very clean "
HG-RC-21,,State-people,Resident's Corner,Yes,Demarcated,Clean,Fixed,20,None,Present,1.3697441,103.8815485,"Residents corner
State-provided
Relatively empty
Demarcated by Low Walls
2 four seater tables
12 metal chairs mesh 
Some ornaments present in a corner
Cameras present "
HG-RC-22,,State-provided,Resident's Corner,No,Demarcated,Semi-clean,Fixed,17,None,None,1.3700926,103.8843369,"Residents corner
State provided
Relatively dirty
Demarcated by Low wall
9 seats 
2 four seater tables (mesh type) 
Relatively empty
No camera "
HG-RC-23,,State-people,Resident's Corner,No,Demarcated,Clean,Mixed,7,None,None,1.3738333,103.8878758,"State-people
Residents corner
Empty space
Demarcated by Low Walls
Only chairs present
7 mobile chairs 
No camera 
Could have more things, but may be removed "
HG-RC-24,,State-provided,Resident's Corner,No,Demarcated,Clean,Fixed,42,None,None,1.3744661,103.8910066,"State provided residents corner
Large area
2 six seater chess tables
2 wall benches 
2 eight seater metal tables 
1 six seater metal table 
2 stone benches
Demarcation using Low walls and designed mesh pillars
No camera 
Clean"
HG-V-23,,State-provided,Void Deck,No,Demarcated,Clean,Fixed,16,None,None,1.3703165,103.8787563,"Fitness corner 
State provided
Demarcated by Low wall 
4 four seater tables at the corners of the space
Mostly for exercising
Newly opened in 2015 
Fans provided
No cameras"
HG-V-24,,People-generated,Void Deck,No,Not demarcated,Clean,Mobile,4,None,Present,1.3700913,103.8844466,"People generated space
Adjacent to minimart and residents corner
Small cabinetry with ornaments present
Wooden furniture and stackable chairs present 
No camera
No demarcation "
HG-V-25,,State-people,Void Deck,Yes,Not demarcated,Semi-clean,Mixed,12,None,None,1.370216,103.8861253,"State-people
Benches (fixed) provided by state
Additional wooden benches and chairs provided by people
Simple space
No demarcation 
Camera present 
Relatively clean "
